Country,Region
Central African Republic,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Morocco,Middle East and Northern Africa
Chad,Sub-Saharan Africa
"Hong Kong S.A.R., China",-
Colombia,Latin America and Caribbean
Northern Cyprus,-
Syria,Middle East and Northern Africa
New Zealand,Australia and New Zealand
Vietnam,Southeastern Asia
Mexico,Latin America and Caribbean
Togo,Sub-Saharan Africa
Romania,Central and Eastern Europe
Sweden,Western Europe
Moldova,Central and Eastern Europe
Cyprus,Western Europe
United Arab Emirates,Middle East and Northern Africa
Singapore,Southeastern Asia
Sudan,Sub-Saharan Africa
Indonesia,Southeastern Asia
Myanmar,Southeastern Asia
Poland,Central and Eastern Europe
Congo (Kinshasa),Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Gambia,-
Zimbabwe,Sub-Saharan Africa
Hong Kong S.A.R. of China,East Asia
Mauritania,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
Japan,Eastern Asia
Germany,Western Europe
Guatemala,Latin America and Caribbean
Ivory Coast,Sub-Saharan Africa
Laos,Southeastern Asia
Australia,Australia and New Zealand
Hungary,Central and Eastern Europe
Somaliland region,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Luxembourg,Western Europe
Venezuela,Latin America and Caribbean
Cambodia,Southeastern Asia
Kyrgyzstan,Central and Eastern Europe
Ghana,Sub-Saharan Africa
Belgium,Western Europe
France,Western Europe
Turkmenistan,Central and Eastern Europe
Brazil,Latin America and Caribbean
Zambia,Sub-Saharan Africa
Czech Republic,Central and Eastern Europe
Ireland,Western Europe
Angola,Sub-Saharan Africa
Slovenia,Central and Eastern Europe
Mauritius,Sub-Saharan Africa
Nepal,Southern Asia
Pakistan,Southern Asia
Niger,Sub-Saharan Africa
Albania,Central and Eastern Europe
Latvia,Central and Eastern Europe
Kosovo,Central and Eastern Europe
Bosnia and Herzegovina,Central and Eastern Europe
Portugal,Western Europe
Peru,Latin America and Caribbean
Lesotho,Sub-Saharan Africa
Ecuador,Latin America and Caribbean
Taiwan,Eastern Asia
Uzbekistan,Central and Eastern Europe
Yemen,Middle East and Northern Africa
Paraguay,Latin America and Caribbean
Burundi,Sub-Saharan Africa
Serbia,Central and Eastern Europe
Thailand,Southeastern Asia
Ukraine,Central and Eastern Europe
Denmark,Western Europe
Bolivia,Latin America and Caribbean
Taiwan Province of China,-
Iceland,Western Europe
Kuwait,Middle East and Northern Africa
Rwanda,Sub-Saharan Africa
Montenegro,Central and Eastern Europe
Mali,Sub-Saharan Africa
Bahrain,Middle East and Northern Africa
Mongolia,Eastern Asia
South Africa,Sub-Saharan Africa
China,Eastern Asia
Iran,Middle East and Northern Africa
Nicaragua,Latin America and Caribbean
Burkina Faso,Sub-Saharan Africa
Malaysia,Southeastern Asia
Suriname,Latin America and Caribbean
Netherlands,Western Europe
United States,North America
Switzerland,Western Europe
Bhutan,Southern Asia
Costa Rica,Latin America and Caribbean
Armenia,Central and Eastern Europe
Macedonia,Central and Eastern Europe
Norway,Western Europe
Panama,Latin America and Caribbean
Tanzania,Sub-Saharan Africa
Somaliland Region,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Haiti,Latin America and Caribbean
Turkey,Middle East and Northern Africa
Jamaica,Latin America and Caribbean
Croatia,Central and Eastern Europe
Sri Lanka,Southern Asia
Argentina,Latin America and Caribbean
South Korea,Eastern Asia
Sierra Leone,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
United Kingdom,Western Europe
Tunisia,Middle East and Northern Africa
Kazakhstan,Central and Eastern Europe
Azerbaijan,Central and Eastern Europe
Iraq,Middle East and Northern Africa
Belize,Latin America and Caribbean
South Sudan,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Georgia,Central and Eastern Europe
