"Country","Year","Avg_score"
Afghanistan,2015,3.575000000000001
Afghanistan,2016,3.3599999999999994
Afghanistan,2017,3.79399991035461
Afghanistan,2018,3.632
Afghanistan,2019,3.2029999999999994
Afghanistan,2020,2.566900015
Afghanistan,2021,2.5230000000000006
Albania,2015,4.959
Albania,2016,4.655
Albania,2017,4.64400005340576
Albania,2018,4.586
Albania,2019,4.719
Albania,2020,4.882699966
Albania,2021,5.116999999999999
Algeria,2015,5.605
Algeria,2016,6.355000000000001
Algeria,2017,5.872000217437739
Algeria,2018,3.9712500000000004
Algeria,2019,5.211
Algeria,2020,5.005099773
Algeria,2021,4.886999999999999
Angola,2015,4.033
Angola,2016,3.866
Angola,2017,3.79500007629395
Angola,2018,3.7950000000000004
Argentina,2015,6.574
Argentina,2016,6.650000000000001
Argentina,2017,6.59899997711182
Argentina,2018,6.388000000000001
Argentina,2019,6.085999999999999
Argentina,2020,5.974699974
Argentina,2021,5.929
Armenia,2015,4.3500000000000005
Armenia,2016,4.360000000000001
Armenia,2017,4.37599992752075
Armenia,2018,4.321
Armenia,2019,4.559
Armenia,2020,4.676799774
Armenia,2021,5.283000000000001
Australia,2015,7.283999999999999
Australia,2016,7.312999999999999
Australia,2017,7.28399991989136
Australia,2018,7.272
Australia,2019,7.228
Australia,2020,7.222799778000001
Australia,2021,7.183
Austria,2015,7.199999999999999
Austria,2016,7.119
Austria,2017,7.006000041961668
Austria,2018,7.138999999999999
Austria,2019,7.2459999999999996
Austria,2020,7.294199944
Austria,2021,7.268
Azerbaijan,2015,5.212
Azerbaijan,2016,5.291
Azerbaijan,2017,5.23400020599365
Azerbaijan,2018,5.2010000000000005
Azerbaijan,2019,5.208
Azerbaijan,2020,5.164800167
Azerbaijan,2021,5.170999999999999
Bahrain,2015,5.96
Bahrain,2016,6.218
Bahrain,2017,6.08699989318848
Bahrain,2018,6.105
Bahrain,2019,6.199
Bahrain,2020,6.227300166999999
Bahrain,2021,6.647000000000001
Bangladesh,2015,4.694000000000001
Bangladesh,2016,4.643
Bangladesh,2017,4.60799980163574
Bangladesh,2018,4.5
Bangladesh,2019,4.456000000000001
Bangladesh,2020,4.832799911000001
Bangladesh,2021,5.025
Belarus,2015,5.813
Belarus,2016,5.8020000000000005
Belarus,2017,5.56899976730347
Belarus,2018,5.483
Belarus,2019,5.323
Belarus,2020,5.539899826
Belarus,2021,5.534
Belgium,2015,6.936999999999999
Belgium,2016,6.929
Belgium,2017,6.89099979400635
Belgium,2018,6.926999999999999
Belgium,2019,6.923
Belgium,2020,6.863500118
