"Country","Region","Year","GDP","Score"
Senegal,Sub-Saharan Africa,2021,10.482283732196398,6.462915947273024
Gabon,Sub-Saharan Africa,2020,33.45338587801494,6.110623893899947
Iran,Middle East and Northern Africa,2020,22.58986384209379,5.607556150179909
Colombia,Latin America and Caribbean,2020,34.64555239619613,5.0571075797303005
Ivory Coast,Sub-Saharan Africa,2021,2.151036791378683,0.8374902942968101
Malaysia,Southeastern Asia,2016,35.398850158307624,5.016668565456174
Romania,Central and Eastern Europe,2015,7.155327827885816,4.9782427799855125
Egypt,null region,2017,23.754210177851014,0.2764559327523318
Bulgaria,null region,2021,18.851457249424968,4.171643839720261
Gambia,-,2021,25.136538323060925,2.845217559314592
Palestinian Territories,null region,2018,9.735992084154477,11.884009432121095
Croatia,Central and Eastern Europe,2017,37.62679970784296,5.992689443261965
Guinea,null region,2018,13.925088635643391,3.75810666745917
Romania,Central and Eastern Europe,2019,30.391488635294255,7.177539818603437
Armenia,Central and Eastern Europe,2015,24.868379024571567,4.846667915131472
Germany,Western Europe,2015,7.704248755506032,7.914380827353275
Estonia,null region,2017,77.18186096952051,7.844688828026556
Uruguay,null region,2018,72.5585448070099,3.5064462116078166
Sweden,Western Europe,2020,55.282560691961,6.89226713694142
Hungary,Central and Eastern Europe,2021,50.53619914150985,7.96388479629352
Ecuador,Latin America and Caribbean,2016,36.28548907892036,10.062222790470448
Kuwait,Middle East and Northern Africa,2016,45.98764837778435,8.816789421505701
Saudi Arabia,null region,2021,18.64057776440854,12.689533030376847
Kenya,null region,2020,19.140499020765713,5.527605297370924
Myanmar,Southeastern Asia,2021,12.554431999072625,1.881538947489847
Sweden,Western Europe,2016,47.14760746285129,10.354481267774524
Montenegro,Central and Eastern Europe,2015,17.83157991129234,6.194032030290865
Montenegro,Central and Eastern Europe,2016,53.57645255571381,9.79039956645818
Honduras,null region,2018,21.266924336927385,1.203964422436438
Kenya,null region,2021,13.618722846004427,2.2038937498129636
Zimbabwe,Sub-Saharan Africa,2020,17.297596811846084,1.6314644623607795
Mauritania,Sub-Saharan Africa,2016,31.396948270343966,1.7046102446823497
Colombia,Latin America and Caribbean,2020,6.784124638147636,9.414613296967945
Jamaica,Latin America and Caribbean,2017,18.48374861062126,2.7754976889238523
Italy,null region,2018,34.76380479257659,9.371654689169908
Uzbekistan,Central and Eastern Europe,2015,16.800569588740064,4.0378907150144645
Mauritius,Sub-Saharan Africa,2019,25.057161239450178,7.076083795307472
South Africa,Sub-Saharan Africa,2020,12.071074483218672,7.275072830632663
Madagascar,Sub-Saharan Africa,2017,7.926630827960927,4.593459911386864
Peru,Latin America and Caribbean,2016,27.59522084576037,0.2774967934413202
Myanmar,Southeastern Asia,2016,8.778240303926273,4.29222072833694
Afghanistan,null region,2016,32.085017115429025,1.6106398087405154
Mongolia,Eastern Asia,2017,25.8975871677328,5.473696540576752
Iran,Middle East and Northern Africa,2016,32.11242062256478,6.954712158191787
Azerbaijan,Central and Eastern Europe,2016,21.621875840011295,2.4056224102024117
Niger,Sub-Saharan Africa,2020,2.689051901274708,0.17437257370773207
Indonesia,Southeastern Asia,2016,30.788032427991265,4.788088359370601
Argentina,Latin America and Caribbean,2016,30.313339429104957,9.711517147961448
Austria,null region,2019,19.5916548441522,3.1823126264739727
Denmark,Western Europe,2015,15.796056813124226,5.983208405648972
Nigeria,null region,2018,22.43088736960277,5.185907435672048
Nicaragua,Latin America and Caribbean,2016,36.18201525253335,4.905981266771402
Costa Rica,Latin America and Caribbean,2020,2.5961924391006455,5.980718491661257
Iran,Middle East and Northern Africa,2015,21.087177544337788,0.21296187298563937
Turkmenistan,Central and Eastern Europe,2021,29.40386793041028,11.866874436181854
Malaysia,Southeastern Asia,2021,27.00522833666941,5.326411283826051
Cameroon,null region,2016,9.845809587098971,3.4833872792491754
Turkmenistan,Central and Eastern Europe,2015,11.344068904950813,7.621153326659275
Kyrgyzstan,Central and Eastern Europe,2015,5.905879029017544,10.323837562076443
Slovenia,Central and Eastern Europe,2015,42.986644809466746,11.364303477228976
Switzerland,Western Europe,2018,5.665710143789328,4.47959247865802
Haiti,Latin America and Caribbean,2015,11.939885301476822,0.8384237519434049
Latvia,Central and Eastern Europe,2020,22.987104033117173,11.040881164052417
Syria,Middle East and Northern Africa,2016,20.84704868320085,4.254667372773129
Canada,null region,2021,43.948682162138,8.01499496991614
Ukraine,Central and Eastern Europe,2015,21.152208898918243,1.795006931049778
Chile,null region,2019,32.13268951565467,8.263010757034946
Hong Kong S.A.R. of China,East Asia,2021,75.75417789243102,5.13209609832929
Uzbekistan,Central and Eastern Europe,2016,14.767072001029947,0.1747352489524403
Tajikistan,null region,2019,8.358546109836809,4.589712987005151
Ecuador,Latin America and Caribbean,2015,41.920210695860575,4.934431795653787
Mongolia,Eastern Asia,2015,33.769867329333955,5.672282116293381
Israel,null region,2020,25.081717162295007,13.894725203877716
Estonia,null region,2020,18.132390039908035,7.0834918604833375
Rwanda,Sub-Saharan Africa,2020,3.086666220406599,0.18985456046053273
Northern Cyprus,-,2018,2.4890188748333295,2.428198492659141
Japan,Eastern Asia,2018,43.29924113798363,4.170992589694671
Croatia,Central and Eastern Europe,2017,28.693552613647114,4.365891304284631
Bahrain,Middle East and Northern Africa,2016,2.10024863509044,1.2438692133373483
Sierra Leone,Sub-Saharan Africa,2020,5.462408182357206,0.7099973307221479
Russia,null region,2018,58.84456773173752,3.9465530299639924
Afghanistan,null region,2016,4.933130514322723,4.885620999469624
United Arab Emirates,Middle East and Northern Africa,2020,78.19191208859698,3.5963425476018194
Belgium,Western Europe,2015,22.229458240878838,6.88389929679045
Montenegro,Central and Eastern Europe,2020,33.774401695740416,6.331452086672326
Kosovo,Central and Eastern Europe,2016,40.6157037442327,6.062645462049224
Malta,null region,2019,42.82830257169174,6.609909853700875
Honduras,null region,2021,24.282113260383433,3.660124531558242
Uruguay,null region,2015,13.806757714075932,1.2977870423657363
Swaziland,Sub-Saharan Africa,2021,29.319665924017617,3.934157592114271
